Item ID,Item Name,SKU,UPC,Is Returnable Item,HSN/SAC,Dimension Unit,Weight Unit,Is Receivable Service,Taxable,Taxability Type,Product Type,Category Name,Parent Category,Intra State Tax Name,Intra State Tax Rate,Intra State Tax Type,Inter State Tax Name,Inter State Tax Rate,Inter State Tax Type,Source,Reference ID,Last Sync Time,Status,Usage unit,Unit Name,Default Sales Unit Name,Default Sales Unit Symbol,Default Purchase Unit Name,Default Purchase Unit Symbol,Inventory Account,Inventory Account Code,Inventory Valuation Method,Reorder Point,Vendor,Warehouse Name,Opening Stock,Opening Stock Value,Stock On Hand,Item Type
2.34877E+18,Fenofibrate - Impurity B,Pharmaffiliates-Fenofibrate - Impurity B,,FALSE,,cm,kg,,TRUE,,goods,Anti Hypertensive,,GST0,0,Group,IGST18,18,Simple,1,,,Active,mg,Milli Grams,Milli Grams,mg,Milli Grams,mg,,,,,Pharmaffiliates Analytics & Synthetics (P) Ltd.,,,,,Purchases
2.34877E+18,Sodium Picosulfate BP,Apex-Sodium_Picosulfate,,TRUE,29420090,cm,kg,,TRUE,,goods,,,GST18,18,Group,IGST18,18,Simple,1,,,Active,kg,Kilograms,Kilograms,kg,Kilograms,kg,Stock-In+Hand,,fifo,,APEX HEALTHCARE LIMITED,,,,0,Inventory
2.34877E+18,Eplerenone,MSN_Eplerenone,,TRUE,29021990,cm,kg,,TRUE,,goods,Anti Hypertensive,,GST18,18,Group,0.1IGST,0.1,Simple,1,,,Active,kg,Kilograms,Kilograms,kg,Kilograms,kg,Stock-In+Hand,,fifo,,MSN LABORATORIES PRIVATE LIMITED,,,,0,Inventory
2.34877E+18,Phenytoin sodium BP,Alcon_Phenytoin sodium BP,,TRUE,29332100,cm,kg,,TRUE,,goods,,,GST18,18,Group,IGST18,18,Simple,1,,,Active,kg,Kilograms,Kilograms,kg,Kilograms,kg,Stock-In+Hand,,fifo,,ALCON BIOSCIENCES PVT LTD,,,,0,Inventory
2.34877E+18,Eltrombopag Olamine,Metrochem-Eltrombopag Olamine,,TRUE,,cm,kg,,TRUE,,goods,,,GST18,18,Group,IGST18,18,Simple,1,,,Active,kg,Kilograms,Kilograms,kg,Kilograms,kg,Stock-In+Hand,,fifo,,METROCHEM API PRIVATE LIMITED-TS,,,,0,Inventory
2.34877E+18,Fluconazole BP,Synergene- Fluconazole,,TRUE,29339990,cm,kg,,TRUE,,goods,,,GST18,18,Group,IGST18,18,Simple,1,,,Active,kg,Kilograms,Kilograms,kg,Kilograms,kg,Stock-In+Hand,,fifo,,SYNERGENE ACTIVE INGREDIENTS PVT LTD -AP,,,,0,Inventory
2.34877E+18,Tranexamic Acid,Shilpa_Tranexamic Acid,,TRUE,29224990,cm,kg,,TRUE,,goods,,,GST18,18,Group,IGST18,18,Simple,1,,,Active,kg,Kilograms,Kilograms,kg,Kilograms,kg,Stock-In+Hand,,fifo,,Shilpa Pharma Lifesciences Ltd,,,,0,Inventory
2.34877E+18,PANTOPRAZOLE BASE,PANTOPRAZOLE BASE-METRO CHEM API,,TRUE,29333990,cm,kg,,TRUE,,goods,Antidepressant,,GST18,18,Group,IGST18,18,Simple,1,,,Active,kg,Kilograms,Kilograms,kg,Kilograms,kg,Stock-In+Hand,,fifo,,METROCHEM API PRIVATE LIMITED-TS,,,,0,Inventory
2.34877E+18,Domperidone,Vasudha_Domperidone,,TRUE,,cm,kg,,TRUE,,goods,,,GST18,18,Group,IGST18,18,Simple,1,,,Active,kg,Kilograms,Kilograms,kg,Kilograms,kg,Stock-In+Hand,,fifo,,VASUDHA PHARMA CHEM LIMITED-AP,,,,0,Inventory
2.34877E+18,Sulfasalazine USP,Virchow_Sulfasalazine USP,,TRUE,29359090,cm,kg,,TRUE,,goods,,,GST18,18,Group,IGST18,18,Simple,1,,,Active,kg,Kilograms,Kilograms,kg,Kilograms,kg,Stock-In+Hand,,fifo,,Virchow Drugs Limited,,,,0,Inventory
